Markdown File,Original Link Reference,Inferred Best Match,Match Status
_pages\2023-08-22-about.md,/_site/assets/wp-content/uploads/2024/01/IMG_2430-34-Edited-scaled.jpg,/_site/assets/wp-content/uploads/2024/01/IMG_2430-34-Edited-scaled.jpg,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/microchip.webp,/assets/wp-content/uploads/2024/01/microchip.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/platformio.webp,/assets/wp-content/uploads/2024/01/platformio.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/arduino.webp,/assets/wp-content/uploads/2024/01/arduino.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/rpi.webp,/assets/wp-content/uploads/2024/01/rpi.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/react.webp,/assets/wp-content/uploads/2024/01/react.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/nodejs.webp,/assets/wp-content/uploads/2024/01/nodejs.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/python.webp,/assets/wp-content/uploads/2024/01/python.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/flutter.webp,/assets/wp-content/uploads/2024/01/flutter.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/solidworks.webp,/assets/wp-content/uploads/2024/01/solidworks.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/quartus.webp,/assets/wp-content/uploads/2024/01/quartus.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/matlab.webp,/assets/wp-content/uploads/2024/01/matlab.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/ltspice.webp,/assets/wp-content/uploads/2024/01/ltspice.webp,Already Correct
_pages\2023-08-22-about.md,/assets/wp-content/uploads/2024/01/altium-designer.webp,/assets/wp-content/uploads/2024/01/altium-designer.webp,Already Correct
_pages\2023-08-24-home.md,/_site/assets/wp-content/uploads/2024/01/edited-1054475.b68bb2f1-scaled.webp,/_site/assets/wp-content/uploads/2024/01/edited-1054475.b68bb2f1-scaled.webp,Already Correct
_pages\2023-08-24-home.md,/assets/wp-content/uploads/2024/01/propic.webp,/assets/wp-content/uploads/2024/01/propic.webp,Already Correct
_pages\2023-08-29-landing.md,/assets/wp-content/uploads/2024/01/propic-1.webp,/assets/wp-content/uploads/2024/01/propic-1.webp,Already Correct
_pages\2024-01-21-woodsnaps-scratch-bits.md,/_site/assets/wp-content/uploads/2024/01/acton-scaled.webp,/_site/assets/wp-content/uploads/2024/01/acton-scaled.webp,Already Correct
_posts\2019-10-03-the-streets-of-london-a-brief-collection-of-soocs-from-my-new-camera.md,/assets/wp-content/uploads/2024/01/1bFtP2zNaZfrF4sQWs85CJw.jpg,/assets/wp-content/uploads/2024/01/1bFtP2zNaZfrF4sQWs85CJw.jpg,Already Correct
_posts\2019-10-03-the-streets-of-london-a-brief-collection-of-soocs-from-my-new-camera.md,/assets/wp-content/uploads/2024/01/1Dr_tIqbIzYL2-DOJmq69bg.jpg,/assets/wp-content/uploads/2024/01/1Dr_tIqbIzYL2-DOJmq69bg.jpg,Already Correct
